test_year,model_name,bin,count,mean_predicted_probability,observed_positive_rate,min_predicted_probability,max_predicted_probability,calibration_gap
2020,logistic_regression,1,658,0.2401133864475581,0.0,0.02678146920249773,0.29456287506389345,0.2401133864475581
2020,logistic_regression,2,648,0.3190451949620918,0.0015432098765432098,0.29475821692011195,0.33870767917199396,0.3175019850855486
2020,logistic_regression,3,651,0.35215753376740344,0.0030721966205837174,0.33879891293904335,0.3640063816549403,0.3490853371468197
2020,logistic_regression,4,653,0.3733727257539851,0.0030627871362940277,0.36404958323030107,0.38180776855726273,0.37030993861769107
2020,logistic_regression,5,654,0.39150225088969837,0.0,0.38183626433018303,0.40214542389703833,0.39150225088969837
2020,logistic_regression,6,650,0.41356433637815504,0.0,0.40221206504536217,0.42562953546863247,0.41356433637815504
2020,logistic_regression,7,653,0.4391455164522048,0.0030627871362940277,0.4256301091907257,0.45569530836092964,0.43608272931591074
2020,logistic_regression,8,652,0.48525431907663014,0.0,0.455753432702511,0.5290864482588847,0.48525431907663014
2020,logistic_regression,9,653,0.5951377877456745,0.004594180704441042,0.5290946400753539,0.6533396017858084,0.5905436070412334
2020,logistic_regression,10,652,0.7901303519415974,0.004601226993865031,0.6536708921686377,0.9986855011820283,0.7855291249477324
