topic_a,topic_b,cutoff_year,prediction_window_start,prediction_window_end,adamic_adar_score,common_neighbour_count,degree_a,degree_b,jaccard_coefficient,preferential_attachment,weighted_degree_a,weighted_degree_b,true_label,predicted_label,prediction_score,error_type,rank
https://openalex.org/T10887,https://openalex.org/T11213,2020,2021,2025,2.939519535983387,8,26,12,0.26666666666666666,312,66.0,22.0,0,1,0.9986855011820283,false_positive,1
https://openalex.org/T10120,https://openalex.org/T10887,2020,2021,2025,2.306220044310031,6,6,26,0.23076923076923078,156,10.0,66.0,0,1,0.9958446906628236,false_positive,2
https://openalex.org/T10434,https://openalex.org/T10887,2020,2021,2025,2.319739430266405,6,9,26,0.20689655172413793,234,16.0,66.0,0,1,0.9956847713885344,false_positive,3
https://openalex.org/T10604,https://openalex.org/T10887,2020,2021,2025,2.1888095838621267,6,8,26,0.21428571428571427,208,20.0,66.0,0,1,0.9950402981384959,false_positive,4
https://openalex.org/T11162,https://openalex.org/T11948,2020,2021,2025,2.5536752323525453,6,14,20,0.21428571428571427,280,30.0,28.0,0,1,0.99409916110049,false_positive,5
https://openalex.org/T10002,https://openalex.org/T10211,2020,2021,2025,2.6364760673316043,6,16,15,0.24,240,28.0,22.0,0,1,0.9940692399722908,false_positive,6
https://openalex.org/T10521,https://openalex.org/T11791,2020,2021,2025,2.1878482259202405,6,18,12,0.25,216,56.0,34.0,0,1,0.9918427878198693,false_positive,7
https://openalex.org/T10521,https://openalex.org/T11213,2020,2021,2025,2.251485276350543,6,18,12,0.25,216,56.0,22.0,0,1,0.9910536756502759,false_positive,8
https://openalex.org/T11468,https://openalex.org/T11642,2020,2021,2025,2.338987064800984,6,11,12,0.35294117647058826,132,22.0,32.0,0,1,0.9906824796891721,false_positive,9
https://openalex.org/T10269,https://openalex.org/T10885,2020,2021,2025,1.9601738331769514,5,11,26,0.15625,286,12.0,80.0,0,1,0.9898943558514814,false_positive,10
https://openalex.org/T10521,https://openalex.org/T10932,2020,2021,2025,2.1522437482158563,6,18,7,0.3157894736842105,126,56.0,16.0,0,1,0.988100311099912,false_positive,11
https://openalex.org/T10621,https://openalex.org/T10887,2020,2021,2025,1.879499264227705,5,6,26,0.18518518518518517,156,8.0,66.0,0,1,0.9880114406401617,false_positive,12
https://openalex.org/T10222,https://openalex.org/T11287,2020,2021,2025,2.0200691487383473,6,11,19,0.25,209,18.0,28.0,0,1,0.9865425087331257,false_positive,13
https://openalex.org/T10015,https://openalex.org/T10269,2020,2021,2025,1.9601738331769514,5,42,11,0.10416666666666667,462,194.0,12.0,0,1,0.9852014052643081,false_positive,14
https://openalex.org/T10044,https://openalex.org/T10798,2020,2021,2025,2.164022036120863,5,20,10,0.2,200,44.0,26.0,0,1,0.9849951989594338,false_positive,15
https://openalex.org/T10044,https://openalex.org/T12613,2020,2021,2025,2.164022036120863,5,20,10,0.2,200,44.0,22.0,0,1,0.9840364544267538,false_positive,16
https://openalex.org/T10222,https://openalex.org/T11970,2020,2021,2025,2.1253087339277514,6,11,10,0.4,110,18.0,26.0,0,1,0.9839122797928483,false_positive,17
https://openalex.org/T10044,https://openalex.org/T10885,2020,2021,2025,1.7739719333752417,5,20,26,0.12195121951219512,520,44.0,80.0,0,1,0.9835230283935542,false_positive,18
https://openalex.org/T10887,https://openalex.org/T11986,2020,2021,2025,2.004456072230334,5,26,14,0.14285714285714285,364,66.0,22.0,0,1,0.9789816136150414,false_positive,19
https://openalex.org/T10261,https://openalex.org/T10521,2020,2021,2025,1.7008637350854148,5,20,18,0.15151515151515152,360,42.0,56.0,0,1,0.9781327172007244,false_positive,20
https://openalex.org/T10515,https://openalex.org/T10885,2020,2021,2025,1.59977160670954,4,6,26,0.14285714285714285,156,8.0,80.0,0,1,0.9778242283530013,false_positive,21
https://openalex.org/T10521,https://openalex.org/T11289,2020,2021,2025,1.8738068477338228,5,18,10,0.21739130434782608,180,56.0,20.0,0,1,0.9763505324684693,false_positive,22
https://openalex.org/T10887,https://openalex.org/T11162,2020,2021,2025,1.8304985588141873,5,26,14,0.14285714285714285,364,66.0,30.0,0,1,0.9760047829325444,false_positive,23
https://openalex.org/T10120,https://openalex.org/T10885,2020,2021,2025,1.5172922303012784,4,6,26,0.14285714285714285,156,10.0,80.0,0,1,0.9752598199774015,false_positive,24
https://openalex.org/T10885,https://openalex.org/T13664,2020,2021,2025,1.7253095278740718,5,26,9,0.16666666666666666,234,80.0,18.0,0,1,0.9737636434060974,false_positive,25
https://openalex.org/T10751,https://openalex.org/T10887,2020,2021,2025,1.5703025879256713,4,4,26,0.15384615384615385,104,4.0,66.0,0,1,0.9728021036375218,false_positive,26
https://openalex.org/T10015,https://openalex.org/T10751,2020,2021,2025,1.5703025879256713,4,42,4,0.09523809523809523,168,194.0,4.0,0,1,0.9712482795148811,false_positive,27
https://openalex.org/T10261,https://openalex.org/T11482,2020,2021,2025,1.7154665221278163,5,20,11,0.19230769230769232,220,42.0,26.0,0,1,0.9702729162704601,false_positive,28
https://openalex.org/T10434,https://openalex.org/T10885,2020,2021,2025,1.4475874255287402,4,9,26,0.12903225806451613,234,16.0,80.0,0,1,0.9700547983819358,false_positive,29
https://openalex.org/T10015,https://openalex.org/T11710,2020,2021,2025,1.582873308543439,4,42,7,0.08888888888888889,294,194.0,12.0,0,1,0.9689819644815041,false_positive,30
https://openalex.org/T11177,https://openalex.org/T11948,2020,2021,2025,1.9739401079133039,4,9,20,0.16,180,14.0,28.0,0,1,0.9689182351674662,false_positive,31
https://openalex.org/T10015,https://openalex.org/T10836,2020,2021,2025,1.6250615326711617,4,42,10,0.08333333333333333,420,194.0,18.0,0,1,0.9668779391206961,false_positive,32
https://openalex.org/T10012,https://openalex.org/T10885,2020,2021,2025,1.325314654968769,4,11,26,0.12121212121212122,286,40.0,80.0,0,1,0.9660098865357579,false_positive,33
https://openalex.org/T11482,https://openalex.org/T11642,2020,2021,2025,1.6444103869647635,5,11,12,0.2777777777777778,132,26.0,32.0,0,1,0.9654559151574107,false_positive,34
https://openalex.org/T10515,https://openalex.org/T10521,2020,2021,2025,1.59977160670954,4,6,18,0.2,108,8.0,56.0,0,1,0.9647833803289355,false_positive,35
https://openalex.org/T10015,https://openalex.org/T10621,2020,2021,2025,1.4770696598458604,4,42,6,0.09090909090909091,252,194.0,8.0,0,1,0.9642378510235519,false_positive,36
https://openalex.org/T10012,https://openalex.org/T13664,2020,2021,2025,1.9398329027894448,4,11,9,0.25,99,40.0,18.0,0,1,0.9618217673851693,false_positive,37
https://openalex.org/T11287,https://openalex.org/T11468,2020,2021,2025,1.6176395443565024,5,19,11,0.2,209,28.0,22.0,0,1,0.9606724037620321,false_positive,38
https://openalex.org/T11482,https://openalex.org/T13664,2020,2021,2025,1.7779995368056458,5,11,9,0.3333333333333333,99,26.0,18.0,0,1,0.9604489989085332,false_positive,39
https://openalex.org/T10222,https://openalex.org/T13664,2020,2021,2025,1.7779995368056458,5,11,9,0.3333333333333333,99,18.0,18.0,0,1,0.9586087609701281,false_positive,40
https://openalex.org/T11289,https://openalex.org/T11642,2020,2021,2025,1.5548332118697663,5,10,12,0.29411764705882354,120,20.0,32.0,0,1,0.9583733482671312,false_positive,41
https://openalex.org/T10066,https://openalex.org/T10887,2020,2021,2025,1.4111981491342853,4,13,26,0.11428571428571428,338,30.0,66.0,0,1,0.957071235257287,false_positive,42
https://openalex.org/T10015,https://openalex.org/T11229,2020,2021,2025,1.5554123032929743,3,42,3,0.07142857142857142,126,194.0,4.0,0,1,0.9565616249689504,false_positive,43
https://openalex.org/T10222,https://openalex.org/T10878,2020,2021,2025,1.629807599922362,5,11,13,0.2631578947368421,143,18.0,18.0,0,1,0.9555640145797042,false_positive,44
https://openalex.org/T10222,https://openalex.org/T11468,2020,2021,2025,1.6176395443565024,5,11,11,0.29411764705882354,121,18.0,22.0,0,1,0.9548840880737088,false_positive,45
https://openalex.org/T10012,https://openalex.org/T11642,2020,2021,2025,1.6296297839890046,4,11,12,0.21052631578947367,132,40.0,32.0,0,1,0.9547147618507038,false_positive,46
https://openalex.org/T10066,https://openalex.org/T10261,2020,2021,2025,1.5496170808246823,4,13,20,0.13793103448275862,260,30.0,42.0,0,1,0.9528577018795495,false_positive,47
