topic_a,topic_b,cutoff_year,prediction_window_start,prediction_window_end,adamic_adar_score,common_neighbour_count,degree_a,degree_b,jaccard_coefficient,preferential_attachment,weighted_degree_a,weighted_degree_b,true_label,predicted_label,prediction_score,error_type,rank
https://openalex.org/T10804,https://openalex.org/T11880,2015,2016,2020,0.31465798044412485,1,17,4,0.05,68,34.0,4.0,0,1,0.9988018969118112,false_positive,5
https://openalex.org/T10261,https://openalex.org/T10857,2015,2016,2020,0.2790553132756236,1,17,4,0.05,68,32.0,4.0,0,1,0.9988018969118112,false_positive,1
https://openalex.org/T10261,https://openalex.org/T11407,2015,2016,2020,0.31066746727980593,1,17,4,0.05,68,32.0,4.0,0,1,0.9988018969118112,false_positive,2
https://openalex.org/T10261,https://openalex.org/T11578,2015,2016,2020,0.2790553132756236,1,17,4,0.05,68,32.0,4.0,0,1,0.9988018969118112,false_positive,3
https://openalex.org/T10320,https://openalex.org/T11407,2015,2016,2020,0.31066746727980593,1,17,4,0.05,68,31.0,4.0,0,1,0.9988018969118112,false_positive,4
https://openalex.org/T10066,https://openalex.org/T10857,2015,2016,2020,0.2790553132756236,1,12,4,0.06666666666666667,48,26.0,4.0,0,1,0.9987551194904831,false_positive,6
https://openalex.org/T10066,https://openalex.org/T11407,2015,2016,2020,0.31066746727980593,1,12,4,0.06666666666666667,48,26.0,4.0,0,1,0.9987551194904831,false_positive,7
https://openalex.org/T10066,https://openalex.org/T11578,2015,2016,2020,0.2790553132756236,1,12,4,0.06666666666666667,48,26.0,4.0,0,1,0.9987551194904831,false_positive,8
https://openalex.org/T10243,https://openalex.org/T13141,2015,2016,2020,1.24142137780652,3,12,6,0.2,72,18.0,7.0,0,1,0.9981726630025493,false_positive,9
https://openalex.org/T10887,https://openalex.org/T11772,2015,2016,2020,0.35295612386476116,1,23,2,0.041666666666666664,46,50.0,2.0,0,1,0.9980827529088923,false_positive,11
https://openalex.org/T10887,https://openalex.org/T11629,2015,2016,2020,0.35295612386476116,1,23,2,0.041666666666666664,46,50.0,2.0,0,1,0.9980827529088923,false_positive,10
https://openalex.org/T10120,https://openalex.org/T10261,2015,2016,2020,0.2790553132756236,1,6,17,0.045454545454545456,102,10.0,32.0,0,1,0.997819217664508,false_positive,12
https://openalex.org/T10887,https://openalex.org/T11213,2015,2016,2020,3.056029027736634,8,23,12,0.2962962962962963,276,50.0,18.0,0,1,0.9971576329765809,false_positive,13
https://openalex.org/T10521,https://openalex.org/T11213,2015,2016,2020,2.3340267900307596,6,18,12,0.25,216,50.0,18.0,0,1,0.9971576329765809,false_positive,14
https://openalex.org/T10206,https://openalex.org/T10853,2015,2016,2020,0.35295612386476116,1,24,2,0.04,48,78.0,2.0,0,1,0.9967041602444282,false_positive,17
https://openalex.org/T10206,https://openalex.org/T10537,2015,2016,2020,0.35295612386476116,1,24,2,0.04,48,78.0,2.0,0,1,0.9967041602444282,false_positive,16
https://openalex.org/T10206,https://openalex.org/T11590,2015,2016,2020,0.36067376022224085,1,24,2,0.04,48,78.0,2.0,1,1,0.9967041602444282,true_positive,18
https://openalex.org/T10206,https://openalex.org/T10496,2015,2016,2020,0.35295612386476116,1,24,2,0.04,48,78.0,2.0,0,1,0.9967041602444282,false_positive,15
https://openalex.org/T10206,https://openalex.org/T11944,2015,2016,2020,0.36067376022224085,1,24,2,0.04,48,78.0,2.0,0,1,0.9967041602444282,false_positive,19
https://openalex.org/T10015,https://openalex.org/T10269,2015,2016,2020,1.9918801154769432,5,36,9,0.125,324,158.0,10.0,0,1,0.9963420676466685,false_positive,20
https://openalex.org/T10015,https://openalex.org/T11468,2015,2016,2020,1.802014575854459,5,36,10,0.12195121951219512,360,158.0,18.0,1,1,0.9961306590845078,true_positive,21
https://openalex.org/T10885,https://openalex.org/T13664,2015,2016,2020,1.7488197672043075,5,25,9,0.1724137931034483,225,62.0,18.0,0,1,0.9961306590845078,false_positive,22
https://openalex.org/T11162,https://openalex.org/T11948,2015,2016,2020,2.733820028593919,6,13,17,0.25,221,28.0,24.0,0,1,0.9956566468719686,false_positive,23
https://openalex.org/T10472,https://openalex.org/T11948,2015,2016,2020,0.8415721071852287,2,4,17,0.10526315789473684,68,4.0,24.0,0,1,0.9952312721808253,false_positive,24
https://openalex.org/T10261,https://openalex.org/T11287,2015,2016,2020,1.7281137652653216,5,17,13,0.2,221,32.0,20.0,1,1,0.9951083804611266,true_positive,25
https://openalex.org/T10261,https://openalex.org/T11482,2015,2016,2020,1.7808037741968956,5,17,11,0.21739130434782608,187,32.0,26.0,0,1,0.9951083804611266,false_positive,26
